Rank,Release Group,Worldwide,Domestic,%,Foreign,%
84,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
85,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
86,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
87,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
88,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
89,Beautiful Lure: A Modern Tale of Painted Skin,"$3,307,104",-,-,"$3,307,104",100%
90,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
91,The Girl Who Believes in Miracles,"$3,133,865","$3,133,865",100%,-,-
92,Endless Rain,"$3,029,528","$7,334",0.2%,"$3,022,194",99.8%
93,Land,"$2,893,531","$2,577,830",89.1%,"$315,701",10.9%
94,Recalled,"$2,696,945",-,-,"$2,696,945",100%
95,The Book of Fish,"$2,622,158",-,-,"$2,622,158",100%
96,Here Today,"$2,601,005","$2,601,005",100%,-,-
97,Finding You,"$2,519,657","$2,156,743",85.6%,"$362,914",14.4%
98,High Ground,"$2,410,647",-,-,"$2,410,647",100%
99,Roohi,"$2,306,525",-,-,"$2,306,525",100%
100,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
101,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
102,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
103,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
104,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
105,June Again,"$1,927,042",-,-,"$1,927,042",100%
106,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
107,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
108,Radhe,"$1,758,386",-,-,"$1,758,386",100%
109,Profile,"$1,695,585","$1,695,585",100%,-,-
110,Son of Morning,"$1,649,063",-,-,"$1,649,063",100%
111,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
112,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
113,Josep,"$1,546,416",-,-,"$1,546,416",100%
114,French Exit,"$1,526,416","$706,615",46.3%,"$819,801",53.7%
115,Boss Level,"$1,481,124",-,-,"$1,481,124",100%
116,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
117,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
118,Together Together,"$1,408,711","$1,408,711",100%,-,-
119,Hell's Garden,"$1,400,430",-,-,"$1,400,430",100%
120,El Exorcismo de Carmen Farías,"$1,358,103",-,-,"$1,358,103",100%
121,Long Story Short,"$1,353,374",-,-,"$1,353,374",100%
122,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
123,I Care a Lot,"$1,284,785",-,-,"$1,284,785",100%
124,Extinct,"$1,280,342",-,-,"$1,280,342",100%
125,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
126,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
127,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
128,Ainbo,"$1,217,567",-,-,"$1,217,567",100%
129,Supernova,"$1,140,516","$234,220",20.5%,"$906,296",79.5%
130,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
131,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
132,Cousins,"$1,129,317",-,-,"$1,129,317",100%
133,Crisis,"$1,122,696","$404,738",36.1%,"$717,958",63.9%
134,In the Earth,"$1,113,723","$1,113,723",100%,-,-
135,Super Me,"$1,100,000",-,-,"$1,100,000",100%
136,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
137,Dream Horse,"$1,085,618","$1,085,618",100%,-,-
138,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
139,In the Mood for Love 2020 Re-release,"$1,029,211",-,-,"$1,029,211",100%
140,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
141,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
142,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
143,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
144,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
